"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000070","mitotic sister chromatid segregation",146,0.66909055124681,2.48100586629189,1e-10,1e-10,4.17368421052632e-08,1816,"tags=36%, list=12%, signal=32%","20877/12235/71819/66977/54392/12704/26934/52276/72107/110033/12236/208628/70218/268697/68612/67849/108907/18817/54141/67052/18005/16571/215387/105988/60411/107995/72415/68549/70385/22137/381293/11799/73804/233406/51944/69716/229841/381318/56742/14841/21335/59014/67177/56150/66934/76044/101994/67141/14211/19384/59126/16319/68298"
"GO:0000280","nuclear division",364,0.499287304717623,1.99943296012492,1e-10,1e-10,4.17368421052632e-08,1816,"tags=26%, list=12%, signal=23%","16878/20877/12235/71819/66977/54392/14087/100502766/12704/26934/52276/72119/72107/110033/12236/19361/208628/70218/16551/21926/268697/68612/60530/67849/108907/13614/18817/623474/54141/67052/18005/16571/215387/105988/60411/237911/214901/107995/72415/68549/70385/22137/381293/16176/11799/73804/192199/19362/233406/51944/21973/12649/110958/69716/12442/229841/381318/56742/12316/14841/66197/21335/59014/67177/56150/18591/17345/69928/14748/19366/320159/66934/268465/76044/17702/240641/101994/73420/71846/381678/16175/67141/67121/14211/20878/19384/12877/72634/59126/19385/16580/16319/12162/68298"
"GO:0000819","sister chromatid segregation",172,0.644165450856847,2.42670640766339,1e-10,1e-10,4.17368421052632e-08,1816,"tags=34%, list=12%, signal=30%","20877/12235/71819/66977/54392/12704/26934/52276/72107/110033/12236/208628/70218/71988/268697/68612/223970/67849/108907/18817/54141/67052/18005/16571/215387/105988/60411/107995/72415/68549/70385/22137/381293/11799/73804/233406/51944/21973/69716/229841/381318/56742/14841/21335/59014/67177/56150/66934/76044/101994/79456/67141/14211/19384/59126/16319/320209/68298"
"GO:0006364","rRNA processing",205,0.574016857800599,2.20710843821233,1e-10,1e-10,4.17368421052632e-08,3938,"tags=57%, list=25%, signal=43%","24014/271842/72515/102614/59028/107094/14113/52530/67223/72462/74035/104662/68147/215193/59014/67973/67619/67949/98956/27966/217995/56095/67222/234344/69902/69237/56200/213773/72171/110109/245474/21771/17089/105372/53414/67920/72344/66409/17975/71340/208144/30946/57750/72662/107071/20085/110816/18813/57315/52705/230082/20055/18148/100503670/20115/18150/20116/228889/66580/217109/16418/72544/207932/20088/19896/64934/67025/75617/66254/13871/216156/20054/227715/54127/67115/70930/66942/68979/67045/66489/73674/52513/66481/69499/20937/20068/72554/100019/66181/20044/72181/69072/224481/195434/225348/19942/71990/19941/14791/27993/27176/57808/66362/72198/12181/66583/75416/67936/67276/217431/69663/70285/12578/269470/234374/67239"
"GO:0007059","chromosome segregation",291,0.562068684116905,2.21802250781596,1e-10,1e-10,4.17368421052632e-08,1958,"tags=30%, list=13%, signal=27%","20877/12235/66468/71819/66977/54392/12704/26934/108000/52276/72107/110033/12236/70645/76464/208628/70218/406217/26886/71988/268697/218977/68612/223970/67849/108907/12189/18817/54141/67052/18005/16571/215387/105988/60411/237911/214901/108912/13605/107995/72415/68549/70385/22137/381293/11799/73804/233406/51944/21973/110958/69716/72155/229841/381318/56742/14841/21335/59014/67177/56150/17345/69928/66934/268465/76044/66442/67037/101994/71846/21969/219114/79456/381678/67141/14211/19384/12877/59126/16319/11740/66617/320209/68298/100088/72787/22038"
"GO:0016072","rRNA metabolic process",212,0.560641544441668,2.1590449179442,1e-10,1e-10,4.17368421052632e-08,3938,"tags=55%, list=25%, signal=42%","24014/271842/72515/102614/59028/107094/14113/52530/67223/72462/74035/104662/68147/215193/59014/67973/67619/67949/98956/27966/217995/56095/67222/234344/69902/69237/56200/213773/72171/110109/245474/21771/17089/105372/53414/67920/72344/66409/17975/71340/208144/30946/57750/72662/107071/20085/110816/18813/57315/52705/230082/20055/18148/100503670/20115/18150/20116/228889/66580/217109/16418/72544/207932/20088/19896/64934/67025/75617/66254/13871/216156/20054/227715/54127/67115/70930/66942/68979/67045/66489/73674/52513/66481/69499/20937/20068/72554/100019/66181/20044/72181/69072/224481/195434/225348/19942/71990/19941/14791/27993/27176/57808/66362/72198/12181/66583/75416/67936/67276/217431/69663/70285/12578/269470/234374/105083/67239"
"GO:0022613","ribonucleoprotein complex biogenesis",397,0.508777796738676,2.04727676655401,1e-10,1e-10,4.17368421052632e-08,4432,"tags=55%, list=29%, signal=40%","24014/271842/72515/102614/59028/107094/14113/235036/52530/217011/67223/72462/74035/104662/68147/215193/12261/59014/67973/67619/69878/28126/67949/18432/231452/382038/71952/98956/27275/27966/217995/56095/56505/68184/16785/57741/67222/234344/69902/69237/227674/56200/67134/213773/72171/110109/245474/21771/17089/105372/50783/66164/53414/224092/67920/72344/19384/225215/103136/66409/75751/20641/17975/230737/71340/208144/30946/97112/57750/72662/67097/107071/20085/110816/18813/57315/67671/19428/52705/69126/230082/20055/18148/11837/100503670/20115/67832/27367/28035/18150/20116/228889/66978/66580/67014/217109/16418/20103/72544/207932/268449/20088/19896/64934/67025/75617/67204/24015/66254/13871/216156/20054/227715/100608/54127/67115/229504/234549/70930/22121/66942/67332/12607/432508/68979/67045/19655/66489/73674/20595/52513/353258/66481/28000/69499/110809/20937/20901/20815/20068/118451/19988/72554/70767/53890/100019/66181/20044/72181/69072/108013/224481/195434/214572/225348/19942/71990/19941/14791/13669/57294/20638/27993/69241/71986/216766/27756/22384/27176/57808/66362/16898/53817/20174/72198/12181/68219/53975/66583/75416/110954/101739/13211/68193/55989/67936/55944/67276/108143/217431/69663/70285/12578/20935/239528/269470/234374/67239/67996/67842/12812/68011/50529/214627/27998/20222/15516/60321/69821/20643/18572/433864/100609/217869/67242/57905/223499/19989/20104"
"GO:0034470","ncRNA processing",351,0.483896417535191,1.93253201082968,1e-10,1e-10,4.17368421052632e-08,3968,"tags=44%, list=26%, signal=34%","24014/271842/72515/102614/59028/328162/107094/14113/52530/67223/72462/74035/211064/104662/68147/215193/59014/67973/67619/17299/67949/98956/27966/217995/56095/67222/100087/234344/69902/69237/319582/56200/213773/72171/110109/67724/245474/28114/21771/17089/105372/53414/69961/106248/67920/72344/69942/78697/66409/17975/71340/208144/30946/66965/57750/68626/72662/107071/20085/110816/18813/57315/16193/52705/230082/20055/233802/18148/100503670/20115/18150/20116/228889/66580/217109/16418/72544/207932/56361/20088/19896/64934/67025/75617/77065/69163/66254/13871/216156/20054/227715/54127/67115/70930/66942/69372/60507/68979/67045/66489/73674/212728/52513/20823/433813/66481/69499/66381/20937/20068/72554/100019/108943/66181/20044/72181/69072/28036/224481/195434/225348/52575/19942/71990/67049/19941/14791/27993/72133/212528/15108/27176/57808/66362/233189/20848/72198/12181/66966/66583/75416/67936/14911/67276/217431/69663/71916/70285/12578/52686/239528/269470/234374/67239/83701"
"GO:0042254","ribosome biogenesis",288,0.561557848051959,2.21017230447213,1e-10,1e-10,4.17368421052632e-08,3938,"tags=56%, list=25%, signal=43%","24014/271842/72515/102614/59028/107094/14113/235036/52530/217011/67223/72462/74035/104662/68147/215193/12261/59014/67973/67619/28126/67949/18432/231452/382038/71952/98956/27966/217995/56095/16785/57741/67222/234344/69902/69237/227674/56200/67134/213773/72171/110109/245474/21771/17089/105372/66164/53414/224092/67920/72344/19384/225215/103136/66409/75751/17975/230737/71340/208144/30946/97112/57750/72662/67097/107071/20085/110816/18813/57315/67671/19428/52705/69126/230082/20055/18148/11837/100503670/20115/67832/27367/18150/20116/228889/66580/67014/217109/16418/20103/72544/207932/268449/20088/19896/64934/67025/75617/24015/66254/13871/216156/20054/227715/100608/54127/67115/229504/234549/70930/66942/12607/68979/67045/66489/73674/52513/353258/66481/69499/20937/20068/118451/19988/72554/100019/66181/20044/72181/69072/224481/195434/225348/19942/71990/19941/14791/57294/27993/71986/27176/57808/66362/16898/72198/12181/66583/75416/110954/68193/55989/67936/67276/217431/69663/70285/12578/20935/269470/234374/67239"
"GO:0048285","organelle fission",418,0.456192303210423,1.84273071338744,1e-10,1e-10,4.17368421052632e-08,1816,"tags=23%, list=12%, signal=21%","16878/20877/12235/71819/66977/54392/14087/100502766/12704/26934/52276/72119/72107/110033/12236/19361/208628/70218/16551/21926/268697/68612/60530/67849/108907/13614/18817/623474/54141/67052/18005/16571/215387/105988/60411/237911/214901/107995/72415/68549/70385/22137/381293/16176/11799/73804/192199/19362/233406/51944/21973/12649/110958/69716/12442/229841/381318/18631/56742/12316/14841/66197/21335/59014/67177/56150/18591/17345/69928/14748/19366/320159/66934/268465/76044/17702/240641/101994/13429/73420/71846/381678/16175/67141/67121/14211/20878/19384/12877/72634/59126/19385/16580/16319/12162/68298"
